#time[fm]	N_ccbar=1	N_ccbar=2	N_ccbar=5	N_ccbar=10
144.22119	0.0036139957264957	0.0057124289772727	0.0118584166666666	0.0221620425724637
147.73878000000002	0.0036184561965811	0.0057208570075757	0.0118757916666666	0.0221819157608695
151.25637000000003	0.0036278311965811	0.0057378551136363	0.0118867916666666	0.0221970471014492
154.77396000000005	0.0036334401709401	0.0057392518939393	0.0119080416666666	0.0222111413043478
158.29155000000006	0.0036504807692307	0.0057476325757575	0.0119185	0.0222241666666666
161.80914000000007	0.0036491452991452	0.0057559422348484	0.0119346875	0.0222328849637681
165.32673000000008	0.0036497596153846	0.0057603456439393	0.0119260833333333	0.0222385190217391
168.8443200000001	0.0036676014957264	0.0057603219696969	0.0119239166666666	0.0222554483695652
172.3619100000001	0.0036709401709401	0.0057625710227272	0.0119268749999999	0.0222753125
175.87950000000012	0.0036808493589743	0.0057628077651515	0.0119507083333333	0.0222710190217391
179.39709000000013	0.0036846688034187	0.0057689867424242	0.0119479999999999	0.0222913269927536
182.91468000000012	0.0036921207264957	0.0057672585227272	0.0119504791666666	0.0222980932971014
186.43227000000016	0.0036866987179487	0.0057756628787878	0.0119673541666666	0.0223001403985507
189.94986000000017	0.0036932158119658	0.0057847774621212	0.0119771874999999	0.0223045969202898
193.46745000000016	0.0036900373931623	0.0057854876893939	0.0119988541666666	0.022309393115942
196.9850400000002	0.0036968749999999	0.0057850852272727	0.0119753541666666	0.0223101766304347
200.5026300000002	0.0036981036324786	0.005781699810606	0.0120021666666666	0.0223136322463768
204.02022000000025	0.0037056089743589	0.005798106060606	0.0119951666666666	0.0223178351449275
207.53781000000023	0.0037094551282051	0.0057991477272727	0.0119893333333333	0.0223244701086956
211.05540000000025	0.0037101762820512	0.005809209280303	0.0120005208333333	0.0223351403985507
214.57299000000023	0.0037091613247863	0.0058164535984848	0.0120008333333333	0.0223323505434782
218.09058000000027	0.0037088408119658	0.0058108428030303	0.0120094999999999	0.0223346875
221.60817000000029	0.0037103098290598	0.005820146780303	0.0120072708333333	0.022338777173913
225.1257600000003	0.0037004006410256	0.0058177793560606	0.0120186874999999	0.0223358740942029
228.6433500000003	0.0037039797008547	0.0058102746212121	0.012005625	0.0223354574275362
232.16094000000032	0.0037018162393162	0.005827012310606	0.0120054791666666	0.022330045289855
235.67853000000036	0.0036962072649572	0.0058284327651515	0.0119977291666666	0.0223373052536231
239.19612000000035	0.0037006944444444	0.0058197679924242	0.0120024583333333	0.0223425996376811
242.7137100000004	0.0036988782051281	0.0058207386363636	0.0120051041666666	0.0223459873188406
246.2313000000004	0.0037051816239316	0.0058271543560606	0.011991125	0.0223522463768115
249.7488900000004	0.0037141025641025	0.0058219223484848	0.0119783541666666	0.0223575996376811
253.2664800000004	0.0037101495726495	0.0058286221590909	0.0119770208333333	0.0223601313405797
256.7840700000004	0.0037086004273504	0.0058219696969697	0.0119984791666666	0.0223526313405797
260.3016600000004	0.0037130876068376	0.0058209753787878	0.0120126874999999	0.0223576585144927
263.81925000000035	0.0037150106837606	0.0058384232954545	0.011999375	0.0223574456521739
267.33684000000034	0.0037161324786324	0.0058290956439393	0.0119986875	0.0223475226449275
270.8544300000003	0.0037138888888888	0.0058325994318181	0.0120174791666666	0.0223547780797101
274.3720200000003	0.0037174679487179	0.0058347301136363	0.01201825	0.0223554619565217
277.8896100000003	0.0037194978632478	0.0058341856060606	0.0120247916666666	0.0223531884057971
281.4072000000003	0.0037207799145299	0.0058229640151515	0.0120250625	0.0223547418478261
284.92479000000026	0.0037306356837606	0.0058294744318181	0.0120130208333333	0.0223561684782608
288.44238000000024	0.0037243856837606	0.0058261837121212	0.0120310625	0.0223589855072463
291.9599700000002	0.003729594017094	0.0058216382575757	0.0120205833333333	0.0223555208333333
295.4775600000002	0.003723798076923	0.0058295691287878	0.0120236249999999	0.0223605389492753
298.9951500000002	0.0037265758547008	0.00582734375	0.0120128333333333	0.0223557699275362
302.5127400000002	0.0037319177350427	0.0058303740530303	0.012019625	0.0223614492753623
306.03033000000016	0.0037271367521367	0.0058297585227272	0.0120186666666666	0.022360634057971
309.54792000000015	0.0037299946581196	0.0058203598484848	0.0120251041666666	0.0223656567028985
313.06551000000013	0.0037375534188034	0.0058268229166666	0.0120250208333333	0.0223670969202898
316.5831000000001	0.0037331196581196	0.0058226325757575	0.0120457916666666	0.0223504846014492
320.1006900000001	0.0037390491452991	0.0058254971590909	0.0120539583333333	0.022354420289855
323.6182800000001	0.0037429487179487	0.0058182054924242	0.0120370416666666	0.0223573188405797
327.13587000000007	0.0037432959401709	0.005822940340909	0.0120532916666666	0.0223490262681159
330.65346000000005	0.0037404914529914	0.0058205018939393	0.0120376874999999	0.0223445516304347
334.17105000000004	0.0037417735042735	0.0058213068181818	0.012043875	0.0223563405797101
337.68864	0.003748157051282	0.0058290482954545	0.0120363958333333	0.0223608695652173
341.20623	0.0037429487179487	0.0058317234848484	0.0120305208333333	0.0223598188405796
344.72382	0.0037414262820512	0.0058317945075757	0.0120309166666666	0.0223645153985507
348.24141	0.003734642094017	0.005824668560606	0.0120332291666666	0.0223644248188405
351.759	0.0037251068376068	0.0058311553030303	0.0120231666666666	0.0223624230072463
355.27658999999994	0.0037305555555555	0.0058245975378787	0.0120301875	0.022367196557971
358.7941799999999	0.0037284188034187	0.005828409090909	0.0120499166666666	0.0223603894927536
362.3117699999999	0.003727938034188	0.0058250946969696	0.0120664374999999	0.0223751449275362
365.8293599999999	0.0037264155982906	0.0058359138257575	0.0120611666666666	0.0223853985507246
369.3469499999999	0.0037172809829059	0.0058353929924242	0.0120493125	0.022394411231884
372.8645399999999	0.0037305822649572	0.0058345880681818	0.0120534166666666	0.0223847599637681
376.3821299999999	0.0037233707264957	0.0058216382575757	0.0120541458333333	0.0223927762681159
379.89971999999983	0.0037189102564102	0.0058050899621212	0.0120577083333333	0.0223880797101449
383.4173099999998	0.0037218215811965	0.0058138731060605	0.0120611666666666	0.0223923233695652
386.9348999999998	0.0037224626068376	0.0058093276515151	0.0120546875	0.0223924411231883
390.4524899999998	0.0037268162393162	0.0058014678030303	0.0120355416666666	0.0223827083333333
393.97007999999977	0.0037289797008546	0.0058148437499999	0.0120270833333333	0.0223976675724637
397.48766999999975	0.0037222756410256	0.0058163352272727	0.0120259166666666	0.0224006114130435
401.0052599999997	0.0037254273504273	0.0058073863636363	0.0120228124999999	0.0223949909420289
404.5228499999997	0.0037249465811965	0.0058182765151515	0.0120287916666666	0.0223908242753623
408.0404399999997	0.0037271901709401	0.0058157670454545	0.0120375208333333	0.0223882925724637
411.5580299999997	0.0037340277777777	0.0058220170454545	0.0120311041666666	0.0223910326086956
415.0756199999997	0.0037319978632478	0.0058137784090909	0.0120239583333333	0.0223883106884058
418.59320999999966	0.0037273504273504	0.0058220170454545	0.0120352083333333	0.0223908876811594
422.1107999999997	0.0037334134615384	0.0058305160984848	0.0120397708333333	0.0223885597826086
425.6283899999996	0.0037330929487179	0.0058260890151515	0.0120490416666666	0.0223863360507246
429.1459799999996	0.0037270566239316	0.0058371448863636	0.0120462708333333	0.0223917481884057
432.6635699999996	0.0037290865384615	0.005840127840909	0.0120655208333333	0.0223925905797101
436.1811599999996	0.0037199252136752	0.0058348484848484	0.0120616249999999	0.0223916032608695
439.6987499999996	0.0037198985042735	0.005837949810606	0.0120576666666666	0.0223929755434782
443.2163399999996	0.0037171474358974	0.0058366003787878	0.0120608541666666	0.022390321557971
446.73392999999953	0.0037255608974358	0.0058339015151515	0.0120613333333333	0.0223888269927536
450.2515199999995	0.0037224358974359	0.0058214725378787	0.012038375	0.0224003125
453.7691099999995	0.0037225694444444	0.0058274857954545	0.0120474791666666	0.022401000905797
457.2866999999995	0.0037231036324786	0.0058297111742424	0.0120679374999999	0.022409696557971
460.8042899999994	0.0037155181623931	0.0058236032196969	0.0120692291666666	0.0224057653985507
