r (fm)	V(T=350 MeV)	V(T=250 MeV)	V(T=200 MeV)	V(T=160 MeV)
0.6277777777777778	-0.00026085541213903714	-0.007706362209163848	-0.015929166387740553	-0.02769528686006987
0.6418181818181817	-0.0004083969146362972	-0.007458375627983105	-0.015309282565679254	-0.026599770971841328
0.6558585858585858	-0.000998631898262367	-0.007773796320748423	-0.015356133533871328	-0.026303891059935407
0.6698989898989899	-0.0019078977348777513	-0.008501187257040658	-0.01589423835023419	-0.026600700827570652
0.6839393939393938	-0.0030023002236509865	-0.009476594206576473	-0.016733615326464595	-0.027266151162057165
0.6979797979797979	-0.004148085547433786	-0.010536162516453807	-0.017684357807379758	-0.02807624423078406
0.712020202020202	-0.005221225978321534	-0.011527807279054543	-0.018570121192719478	-0.028822910214938158
0.726060606060606	-0.006115595382552589	-0.01232117585089314	-0.0192396410333827	-0.02932757005076284
0.74010101010101	-0.006749253048013143	-0.012815314705125857	-0.01957560176946798	-0.02945158248384989
0.7541414141414141	-0.007068520453416062	-0.01294365454125338	-0.019500408910396318	-0.029103048173218578
0.7681818181818181	-0.0070497126412751585	-0.012676143004007729	-0.018978666356186367	-0.02823973651919415
0.7822222222222222	-0.00669856111976476	-0.012018567776438517	-0.018016407203712226	-0.026868191235134408
0.7962626262626262	-0.006047526784756524	-0.011009309685249527	-0.016657353979402083	-0.025039338663544256
0.8103030303030302	-0.005151338884760385	-0.00971393318042262	-0.014976678207435515	-0.022841151276776373
0.8243434343434343	-0.004081201415257952	-0.008218150196715887	-0.01307287807158046	-0.020389094166589048
0.8383838383838383	-0.00291817604456139	-0.006619776268902325	-0.011058488898161177	-0.01781519546679718
0.8524242424242423	-0.0017462781586050874	-0.005020331680296238	-0.00905038059223328	-0.015256628218559519
0.8664646464646464	-0.0006458102180971363	-0.003516925772552652	-0.007160379442980856	-0.012844671688889349
0.8805050505050505	0.00031259253541006415	-0.002195003100469097	-0.005486883216991141	-0.010694839686532533
0.8945454545454544	0.0010728093784833235	-0.0011224325873291897	-0.004108025920822643	-0.008898831088699013
0.9085858585858585	0.0015966839492548204	-0.0003452942630345442	-0.0030768024741470055	-0.007518785875782555
0.9226262626262626	0.0018659054209049846	0.00011442682882516579	-0.0024183960616261995	-0.006584132907745707
0.9366666666666665	0.0018822747443637564	0.00025918200536518204	-0.0021297752769876086	-0.006091108944244192
0.9507070707070706	0.0016664310778181095	0.00011432582509570605	-0.0021814573988708837	-0.006004827387433565
0.9647474747474747	0.0012552227654997268	-0.00027506821463092436	-0.0025211802978973383	-0.006263594102556369
0.9787878787878787	0.0006979970787945699	-0.0008487103079383245	-0.00307909880350302	-0.0067850185002054425
0.9928282828282827	5.214788137443347e-05	-0.0015365031595608852	-0.0037740296321211583	-0.007473360003917594
1.0068686868686867	-0.0006217030158153271	-0.002264400041731442	-0.004520217069418533	-0.00822748882239517
1.0209090909090908	-0.0012645080121464136	-0.0029602463112162448	-0.005234081267931421	-0.008948827676222954
1.0349494949494948	-0.0018232181575757029	-0.0035591646026098913	-0.005840440930439827	-0.0095486762283022
1.048989898989899	-0.0022545158101353294	-0.004008101090225996	-0.006277768103751985	-0.009954397504447616
1.063030303030303	-0.0025276094838129538	-0.0042692328354470965	-0.006502128187894748	-0.010114057780228568
1.077070707070707	-0.002625927749960598	-0.004322036988399452	-0.00648957461796369	-0.00999924830535704
1.091111111111111	-0.0025476399692887907	-0.004163933188276577	-0.006236895407343135	-0.009605967549158627
1.105151515151515	-0.0023050234699751324	-0.0038095222660272762	-0.005760737869434856	-0.008953594631090299
1.119191919191919	-0.0019227827089485963	-0.0032885489667552185	-0.005095258734131135	-0.00808212691712506
1.1332323232323231	-0.0014354998631186057	-0.002642806452277006	-0.0042885509624193685	-0.007047977311687647
1.1472727272727272	-0.000884453260655096	-0.0019222698015281454	-0.003398178882473948	-0.005918721365107932
1.1613131313131313	-0.00031407661725117784	-0.0011807903726492432	-0.0024862049352255377	-0.004767245190188441
1.1753535353535352	0.0002316536091706561	-0.00047170052424005965	-0.0016141117768607761	-0.003665769331921847
1.1893939393939392	0.0007126233624951564	0.00015633128668205457	-0.0008380126166002956	-0.002680211011133989
1.2034343434343433	0.0010955278719881445	0.0006628896883030353	-0.0002045026802606213	-0.0018653001618758305
1.2174747474747474	0.0013561557755023396	0.0010185966789186477	0.0002525601345183128	-0.0012607884392527371
1.2315151515151515	0.0014808656362468716	0.0012069143262502865	0.0005141410563978824	-0.0008889918895674566
