#r_rel[fm]	P(r_rel)_boundstates	P(r_rel)_ges
0.7032 0.0327415 0.00633916
0.7056 0.0272846 0.00646637
0.708 0.0145518 0.00661478
0.7104 0.0200087 0.00642397
0.7128 0.0218277 0.00720841
0.7152 0.0236466 0.00646637
0.7176 0.0309225 0.00648757
0.72 0.0309225 0.00657238
0.7224 0.0254656 0.00756883
0.7248 0.0272846 0.00669958
0.7272 0.0400174 0.00742043
0.7296 0.0272846 0.0069116
0.732 0.0163708 0.0069964
0.7344 0.0309225 0.00750523
0.7368 0.0254656 0.00652997
0.7392 0.0418364 0.00712361
0.7416 0.0218277 0.00735682
0.744 0.0345605 0.00761124
0.7464 0.0327415 0.00797166
0.7488 0.0309225 0.00731442
0.7512 0.0327415 0.00775965
0.7536 0.0236466 0.00826847
0.756 0.0418364 0.00773844
0.7584 0.0472933 0.00782325
0.7608 0.0291036 0.00733562
0.7632 0.0272846 0.00807766
0.7656 0.0363795 0.00816247
0.768 0.0400174 0.0086501
0.7704 0.0436553 0.00765364
0.7728 0.0418364 0.00780205
0.7752 0.0145518 0.00720841
0.7776 0.0109138 0.00731442
0.78 0.0509312 0.00746283
0.7824 0.0363795 0.00843808
0.7848 0.0272846 0.00752643
0.7872 0.0309225 0.00773844
0.7896 0.0381984 0.00790805
0.792 0.0345605 0.00828968
0.7944 0.0272846 0.00790805
0.7968 0.0236466 0.00856529
0.7992 0.0291036 0.00826847
0.8016 0.0163708 0.00824727
0.804 0.0236466 0.00767484
0.8064 0.0291036 0.00833208
0.8088 0.0218277 0.00763244
0.8112 0.0200087 0.00733562
0.8136 0.0345605 0.00818367
0.816 0.0309225 0.00769604
0.8184 0.0163708 0.0086713
0.8208 0.0236466 0.00848049
0.8232 0.0218277 0.00795046
0.8256 0.0145518 0.0087985
0.828 0.0181897 0.0087773
0.8304 0.0236466 0.00894691
0.8328 0.0200087 0.00939214
0.8352 0.0218277 0.00892571
0.8376 0.0145518 0.00818367
0.84 0.0163708 0.00949815
0.8424 0.0272846 0.00822607
0.8448 0.0181897 0.00894691
0.8472 0.0163708 0.00792926
0.8496 0.00909486 0.0087137
0.852 0.0109138 0.0087561
0.8544 0.0163708 0.00837448
0.8568 0.0109138 0.00841688
0.8592 0.00727589 0.00901052
0.8616 0.0127328 0.00843808
0.864 0.0109138 0.0087985
0.8664 0.00727589 0.00913772
0.8688 0.0181897 0.00924373
0.8712 0.00363795 0.00845929
0.8736 0.0145518 0.0086501
0.876 0.0145518 0.00905292
0.8784 0.00909486 0.00901052
0.8808 0.0163708 0.00928613
0.8832 0.00727589 0.00928613
0.8856 0.00545692 0.00930733
0.888 0.00545692 0.00860769
0.8904 0.0127328 0.00934974
0.8928 0.00909486 0.00898932
0.8952 0.00545692 0.00858649
0.8976 0.00181897 0.00920133
0.9 0.00545692 0.00956175
0.9024 0.00545692 0.00934974
0.9048 0.00727589 0.0101342
0.9072 0.00363795 0.00922253
0.9096 0.00181897 0.00913772
0.912 0.00909486 0.00937094
0.9144 0.00363795 0.00920133
0.9168 0.00363795 0.00958295
0.9192 0.0145518 0.00992217
0.9216 0.00727589 0.00977376
0.924 0.00363795 0.00920133
0.9264 0.0109138 0.00954055
0.9288 0.00181897 0.00930733
0.9312 0.00363795 0.00979496
0.9336 0.00545692 0.0103038
0.936 0.00363795 0.00939214
0.9384 0.00363795 0.0103674
0.9408 0.00363795 0.00954055
0.9432 0.00363795 0.00968896
0.9456 0.00727589 0.0109398
0.948 0.00727589 0.00951935
0.9504 0.00181897 0.0101978
0.9528 0.00181897 0.0103674
0.9552 0.00909486 0.0105158
0.9576 0.00181897 0.00975256
0.96 0.00363795 0.0103674
0.9624 0.00545692 0.00992217
0.9648 0.00181897 0.00977376
0.9672 0.00545692 0.0102402
0.9696 0.0127328 0.0101978
0.972 0.00545692 0.010855
0.9744 0.00545692 0.0100918
0.9768 0 0.0110246
0.9792 0.00545692 0.0108126
0.9816 0.00545692 0.0110458
0.984 0.00181897 0.0109186
0.9864 0.0109138 0.0107278
0.9888 0.00181897 0.0113851
0.9912 0.00909486 0.0112578
0.9936 0.0163708 0.0116819
0.996 0.00181897 0.0107702
0.9984 0.00727589 0.0102614
1.0008 0.00545692 0.011173
1.0032 0.00363795 0.0114911
1.0056 0.00727589 0.0115123
1.008 0.00181897 0.0118515
1.0104 0.0109138 0.0105582
1.0128 0.00727589 0.0110458
1.0152 0.00363795 0.0113639
1.0176 0.00545692 0.0113851
1.02 0.00545692 0.0113002
1.0224 0.00909486 0.0113639
1.0248 0.0109138 0.0115547
1.0272 0.00909486 0.0114699
1.0296 0.0127328 0.0117455
1.032 0.0127328 0.0124451
1.0344 0.00727589 0.0115123
1.0368 0.0127328 0.0115123
1.0392 0.0127328 0.0128903
1.0416 0.0145518 0.0117879
1.044 0.00363795 0.0114275
1.0464 0.00545692 0.0127843
1.0488 0.0109138 0.0118727
1.0512 0.0109138 0.0120211
1.0536 0.00363795 0.0116183
1.056 0.00909486 0.0118091
1.0584 0.0145518 0.0121271
1.0608 0.0163708 0.0119363
1.0632 0.0109138 0.0129115
1.0656 0.0109138 0.013272
1.068 0.00727589 0.0130387
1.0704 0.0163708 0.0127207
1.0728 0.00363795 0.0127419
1.0752 0.0163708 0.0133568
1.0776 0.00909486 0.0126571
1.08 0.0109138 0.0137384
1.0824 0.00545692 0.0133144
1.0848 0.00727589 0.0126783
1.0872 0.00909486 0.0135052
1.0896 0.0163708 0.0133144
1.092 0.0109138 0.0137172
1.0944 0.00545692 0.0125511
1.0968 0.0109138 0.0130812
1.0992 0.0109138 0.013696
1.1016 0.0145518 0.0132932
1.104 0.00909486 0.014014
1.1064 0.0163708 0.0144592
1.1088 0.0109138 0.0137172
1.1112 0.0145518 0.0135264
1.1136 0.00545692 0.0133356
1.116 0.0109138 0.013484
1.1184 0.00727589 0.0134628
1.1208 0.00545692 0.0131448
1.1232 0.0145518 0.0126359
1.1256 0.0109138 0.0143744
1.128 0.00727589 0.0140776
1.1304 0.0109138 0.013802
1.1328 0.00909486 0.01412
1.1352 0.00909486 0.0148409
1.1376 0.0127328 0.0144804
1.14 0.00181897 0.0133568
