# E_rel [GeV] (sim)	dN/dE_rel (sim)	# E_rel [GeV] (analytical)	dN/dE_rel (analytical, has to be normalised)
-0.039999999999998766	0.007726757479166658	-0.2749999999999999	679.3369839674892
1.2351231148954867e-15	1.8958355000000002	-0.25	632.6793428397767
0.040000000000001236	2.7698752500000015	-0.22499999999999987	591.5984309836955
0.08000000000000124	2.8310598749999993	-0.19999999999999996	556.4421228002651
0.12000000000000124	2.6407945624999978	-0.17499999999999982	528.2355589347541
0.16000000000000125	2.3552219791666684	-0.1499999999999999	509.9968833699717
0.20000000000000126	2.0457822291666665	-125	516.7931815370927
0.24000000000000127	1.7510112499999997	-0.09999999999999987	723.0469262430231
0.28000000000000125	1.4805541666666662	-0.07499999999999996	885.7564828045058
0.32000000000000123	1.2410018125	-0.04999999999999982	1016.8667366808693
0.3600000000000012	1.0290643562500004	-0.02499999999999991	1452.5254217065258
0.4000000000000012	0.8535384104166659	0.	28234.061919719123
0.44000000000000117	0.7041037312500009	0.025000000000000133	538522.4099909986
0.48000000000000115	0.5753113479166669	0.050000000000000044	650501.6731652445
0.5200000000000011	0.46900786875	0.07500000000000018	681093.8636717174
0.5600000000000012	0.3834979604166667	0.10000000000000009	672507.27937423
0.6000000000000012	0.3121433416666667	125	643010.6677606399
0.6400000000000012	0.25343866874999976	0.15000000000000013	602419.0421414325
0.6800000000000013	0.2064166354166666	0.17500000000000004	556513.7975061563
0.7200000000000013	0.16578930625000007	0.20000000000000018	508844.039749168
0.7600000000000013	0.13366613125000004	0.2250000000000001	461614.8845150831
0.8000000000000014	0.10814342979166666	0.25	416180.48898193776
0.8400000000000014	0.08636026895833333	0.27500000000000013	373339.9001988958
0.8800000000000014	0.06966713458333333	0.30000000000000004	333524.2757760739
0.9200000000000015	0.056302212916666684	0.3250000000000002	296919.78754895244
0.9600000000000015	0.04557145645833337	0.3500000000000001	263550.3566500594
1.0000000000000016	0.036357684166666696	375	233334.27865061336
1.0400000000000016	0.029080162708333322	0.40000000000000013	206123.35986770454
1.0800000000000016	0.02338470479166669	0.42500000000000004	181730.07356021146
1.1200000000000017	0.018745269833333335	0.4500000000000002	159946.37303745057
1.1600000000000017	0.014616247458333322	0.4750000000000001	140556.6261576992
1.2000000000000017	0.011812797416666656	0.5	123346.37610228533
1.2400000000000018	0.0095184713125	0.5249999999999999	108108.12671783043
1.2800000000000018	0.0077827499583333175	0.5500000000000003	94645.00566618565
1.3200000000000018	0.006080883345833327	0.5750000000000002	82772.91832835323
